  Average Value Weighted Returns -- Daily
,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19900702   ,1.25   ,1.01   ,1.07   ,1.50   ,1.07   ,0.57
19900703   ,0.18   ,0.31   ,0.22   ,0.34   ,0.40   ,0.30
19900704   ,0.37   ,0.22   ,0.21   ,0.36   ,0.30   ,0.14
19900705  ,-0.45  ,-0.48  ,-0.44  ,-0.70  ,-0.71  ,-0.56
19900706  ,-0.04  ,-0.19  ,-0.04  ,-0.15   ,0.31   ,0.11
19900709   ,0.73   ,0.54   ,0.46   ,0.73   ,0.39   ,0.50
19900710   ,0.57   ,0.25   ,0.30   ,0.31  ,-0.03  ,-0.25
19900711  ,-0.72  ,-0.75  ,-0.75  ,-0.18  ,-0.33  ,-0.27
19900712   ,0.55   ,0.57   ,0.49   ,0.79   ,0.49   ,0.83
19900713   ,0.01   ,0.00  ,-0.12   ,0.53   ,0.50   ,0.69
19900716   ,0.24   ,0.22   ,0.11   ,0.61   ,0.30   ,0.26
19900717   ,0.51   ,0.88   ,0.82   ,0.51   ,0.52   ,0.76
19900718   ,0.11   ,0.11   ,0.11   ,0.28   ,0.03   ,0.22
19900719   ,0.23   ,0.16   ,0.03  ,-0.13  ,-0.11  ,-0.27
19900720   ,0.22   ,0.35   ,0.24   ,0.30   ,0.35   ,0.50
19900723   ,0.59   ,0.50   ,0.50  ,-0.17  ,-0.10  ,-0.16
19900724  ,-0.40  ,-0.32  ,-0.39  ,-0.48  ,-0.42  ,-0.21
19900725  ,-0.10   ,0.00   ,0.05  ,-0.05   ,0.26   ,0.36
19900726   ,0.08   ,0.01   ,0.07  ,-0.16  ,-0.31  ,-0.43
19900727   ,0.88   ,0.52   ,0.69   ,0.37   ,0.17   ,0.08
19900730   ,0.09   ,0.13   ,0.14  ,-0.07   ,0.00  ,-0.05
19900731   ,1.18   ,1.10   ,1.03   ,1.53   ,1.49   ,1.37
19900801  ,-0.40  ,-0.38  ,-0.41  ,-0.47  ,-0.35  ,-0.33
19900802  ,-0.99  ,-0.97  ,-1.22  ,-1.75  ,-1.29  ,-1.26
19900803  ,-0.45  ,-0.66  ,-0.62  ,-1.32  ,-1.33  ,-1.18
19900806  ,-1.44  ,-1.41  ,-1.94  ,-2.64  ,-3.22  ,-3.06
19900807  ,-0.67  ,-0.57  ,-0.42   ,0.41   ,0.89   ,0.76
19900808  ,-1.15  ,-1.15  ,-0.86  ,-1.43  ,-1.89  ,-1.77
19900809  ,-0.18  ,-0.46  ,-0.52   ,0.32   ,0.66   ,0.11
19900810   ,0.02   ,0.05   ,0.01  ,-0.13  ,-0.06   ,0.12
19900813  ,-0.34  ,-0.30  ,-0.45  ,-0.74  ,-1.12  ,-0.75
19900814   ,0.30   ,0.09   ,0.32   ,0.46   ,0.74   ,0.70
19900815   ,0.54   ,0.41   ,0.51   ,0.89   ,1.05   ,0.76
19900816  ,-0.05  ,-0.04   ,0.24  ,-0.26  ,-0.14  ,-0.07
19900817  ,-0.71  ,-0.71  ,-0.67  ,-1.73  ,-1.77  ,-1.43
19900820  ,-1.64  ,-2.01  ,-1.80  ,-2.64  ,-2.11  ,-1.94
19900821  ,-2.02  ,-1.72  ,-1.69  ,-2.92  ,-2.91  ,-2.18
19900822  ,-0.71  ,-0.43  ,-0.30   ,0.28   ,0.58   ,0.32
19900823  ,-0.69  ,-0.84  ,-1.21  ,-1.12  ,-1.66  ,-1.42
19900824  ,-0.73  ,-0.74  ,-0.68   ,0.17   ,0.75   ,0.58
19900827   ,1.07   ,1.44   ,1.61   ,2.57   ,3.32   ,2.98
19900828   ,1.33   ,1.21   ,0.92   ,1.72   ,0.06   ,0.28
19900829  ,-0.14  ,-0.03  ,-0.44   ,0.45   ,0.20  ,-0.20
19900830  ,-0.41  ,-0.35  ,-0.57   ,0.19  ,-0.09  ,-0.16
19900831  ,-0.78  ,-0.82  ,-0.95  ,-1.12  ,-0.99  ,-1.42
19900903  ,-1.20  ,-1.25  ,-1.29  ,-1.61  ,-1.31  ,-1.23
19900904  ,-0.63  ,-0.32  ,-0.58  ,-1.11  ,-1.16  ,-0.94
19900905   ,1.07   ,0.97   ,0.96   ,1.21   ,1.23   ,1.17
19900906  ,-0.23  ,-0.20  ,-0.15  ,-0.57  ,-0.67  ,-0.51
19900907  ,-0.95  ,-0.94  ,-1.04  ,-0.77  ,-0.64  ,-0.77
19900910  ,-0.99  ,-0.72  ,-0.53   ,0.40   ,0.23  ,-0.06
19900911  ,-0.47  ,-0.68  ,-0.45  ,-0.90  ,-1.01  ,-0.94
19900912   ,0.23   ,0.27   ,0.19   ,0.05   ,0.65   ,0.52
19900913   ,0.86   ,0.72   ,0.82   ,0.50   ,0.35   ,0.51
19900914   ,0.27   ,0.11  ,-0.05  ,-0.73  ,-0.64  ,-0.47
19900917  ,-0.07  ,-0.10  ,-0.17  ,-0.17  ,-0.23  ,-0.18
19900918  ,-0.71  ,-0.78  ,-0.66  ,-1.02  ,-1.21  ,-0.74
19900919  ,-1.92  ,-2.11  ,-2.09  ,-2.01  ,-2.00  ,-1.87
19900920  ,-1.69  ,-2.10  ,-2.09  ,-2.32  ,-2.30  ,-2.75
19900921  ,-2.00  ,-1.82  ,-1.90  ,-1.25  ,-1.08  ,-0.97
19900924   ,0.21   ,0.40   ,0.59  ,-0.43  ,-0.45  ,-0.06
19900925  ,-1.29  ,-1.28  ,-1.32  ,-1.37  ,-1.92  ,-1.52
19900926  ,-0.49  ,-0.36  ,-0.37  ,-0.16   ,0.15  ,-0.24
19900927   ,0.07   ,0.31   ,0.21   ,0.14   ,0.53   ,0.22
19900928  ,-0.51  ,-0.25  ,-0.58  ,-1.01  ,-1.05  ,-1.25
19901001   ,0.83   ,0.88   ,0.88   ,3.14   ,3.07   ,2.67
19901002   ,1.05   ,0.95   ,1.23   ,2.33   ,1.96   ,1.69
19901003   ,0.77   ,1.01   ,0.78   ,0.88   ,1.01   ,0.86
19901004   ,0.45   ,0.68   ,0.26  ,-0.22   ,0.07   ,0.00
19901005   ,0.70   ,0.21   ,0.70   ,1.42   ,1.06   ,0.88
19901008   ,3.06   ,2.99   ,2.97   ,2.88   ,3.19   ,3.14
19901009  ,-0.61  ,-0.46  ,-0.60  ,-1.33  ,-1.08  ,-1.21
19901010  ,-0.49  ,-0.61  ,-0.71  ,-1.31  ,-1.53  ,-1.12
19901011  ,-0.24   ,0.02  ,-0.08   ,0.96   ,0.11  ,-0.07
19901012   ,0.24   ,0.17   ,0.12  ,-0.24   ,0.96   ,0.60
19901015  ,-0.62  ,-0.20  ,-0.49   ,0.13  ,-0.33  ,-0.27
19901016   ,0.89   ,0.88   ,0.91   ,0.47   ,0.33   ,0.49
19901017  ,-0.18  ,-0.38  ,-0.47  ,-0.80  ,-0.57  ,-0.35
19901018   ,0.62   ,0.59   ,0.92   ,1.46   ,1.13   ,0.98
19901019  ,-0.32  ,-0.20  ,-0.43   ,0.35   ,0.69   ,0.36
19901022  ,-0.50  ,-0.45  ,-0.48  ,-0.24  ,-0.41  ,-0.32
19901023   ,0.34   ,0.37   ,0.55   ,1.22   ,1.52   ,1.24
19901024   ,0.62   ,0.97   ,0.78   ,0.11   ,0.38   ,0.46
19901025  ,-0.10  ,-0.23  ,-0.15  ,-0.68  ,-0.69  ,-0.78
19901026  ,-0.67  ,-0.70  ,-0.90  ,-1.17  ,-1.65  ,-1.71
19901029  ,-0.73  ,-0.44  ,-0.75  ,-0.78  ,-0.43  ,-0.58
19901030  ,-0.34  ,-0.20  ,-0.32  ,-0.75  ,-0.87  ,-1.12
19901031  ,-0.35  ,-0.33  ,-0.49   ,0.01   ,0.19   ,0.17
19901101   ,0.07   ,0.06   ,0.00  ,-0.51  ,-0.19  ,-0.26
19901102   ,0.20   ,0.00   ,0.27   ,0.24   ,0.34   ,0.25
19901105   ,0.75   ,0.80   ,0.71   ,1.35   ,0.97   ,0.84
19901106  ,-0.21  ,-0.18   ,0.06   ,0.16  ,-0.01   ,0.22
19901107  ,-0.15  ,-0.20  ,-0.14  ,-0.75  ,-0.64  ,-0.65
19901108  ,-0.65  ,-0.93  ,-0.73  ,-1.10  ,-1.06  ,-1.10
19901109  ,-0.25  ,-0.17  ,-0.10   ,0.16   ,0.32   ,0.25
19901112  ,-0.01  ,-0.03   ,0.13   ,0.97   ,0.74   ,0.70
19901113   ,0.01   ,0.05   ,0.20   ,0.53   ,0.30   ,0.46
19901114  ,-0.03  ,-0.21  ,-0.37  ,-0.53  ,-0.45  ,-0.52
19901115  ,-0.32  ,-0.27  ,-0.31  ,-0.44   ,0.12   ,0.15
19901116   ,0.76   ,0.72   ,0.89   ,0.97   ,0.59   ,0.73
19901119   ,0.36   ,0.34   ,0.37   ,1.06   ,1.52   ,0.96
19901120  ,-0.30  ,-0.21  ,-0.30   ,0.07   ,0.12   ,0.16
19901121  ,-0.32  ,-0.09   ,0.04  ,-0.14  ,-0.04  ,-0.09
19901122  ,-0.29  ,-0.04  ,-0.40   ,0.11   ,0.46   ,0.22
19901123  ,-0.12  ,-0.06  ,-0.14   ,0.11   ,0.24   ,0.52
19901126  ,-0.52  ,-0.46  ,-0.45  ,-1.29  ,-1.46  ,-1.36
19901127   ,0.52   ,0.54   ,0.38   ,0.47   ,0.25   ,0.67
19901128  ,-0.45  ,-0.73  ,-0.82  ,-0.74  ,-0.74  ,-0.74
19901129  ,-1.19  ,-1.15  ,-1.19  ,-1.15  ,-1.10  ,-1.02
19901130  ,-0.16   ,0.00  ,-0.15   ,0.23   ,0.59   ,0.32
19901203  ,-0.87  ,-0.64  ,-0.55   ,0.35   ,0.13   ,0.14
19901204   ,0.65   ,0.84   ,0.50   ,0.44   ,0.24   ,0.19
19901205   ,0.11   ,0.17   ,0.11   ,0.61   ,0.60   ,0.40
19901206   ,1.03   ,1.20   ,1.32   ,2.16   ,2.14   ,2.04
19901207   ,1.26   ,1.29   ,1.05   ,0.81   ,1.16   ,1.18
19901210   ,0.36   ,0.44  ,-0.03   ,0.12  ,-0.06  ,-0.17
19901211  ,-0.39  ,-0.59  ,-0.78  ,-1.03  ,-1.04  ,-1.16
19901212   ,0.18   ,0.11   ,0.74  ,-0.13   ,0.29   ,0.11
19901213  ,-0.10   ,0.08   ,0.25   ,0.50   ,0.25   ,0.45
19901214  ,-0.53  ,-0.35  ,-0.44  ,-0.58  ,-0.61  ,-0.59
19901217  ,-0.59  ,-0.81  ,-0.81  ,-1.52  ,-1.55  ,-1.65
19901218  ,-0.23  ,-0.15  ,-0.07  ,-0.11   ,0.18   ,0.14
19901219  ,-0.06  ,-0.18   ,0.03   ,0.14   ,0.17   ,0.28
19901220  ,-2.24  ,-2.43  ,-2.27  ,-3.05  ,-3.24  ,-3.04
19901221  ,-0.90  ,-1.08  ,-1.09  ,-1.34  ,-0.78  ,-0.85
19901224  ,-1.01  ,-0.91  ,-0.86  ,-1.26  ,-1.05  ,-0.92
19901225   ,0.16   ,0.12   ,0.08   ,0.24   ,0.12   ,0.02
19901226   ,0.32   ,0.40   ,0.44   ,0.35   ,0.40   ,0.40
19901227   ,0.04   ,0.26   ,0.17   ,0.19   ,0.11   ,0.21
19901228   ,2.04   ,2.00   ,2.08   ,1.90   ,1.58   ,1.70
19901231   ,0.43   ,0.33   ,0.44   ,0.07   ,0.09   ,0.02
19910101  ,-0.02  ,-0.02  ,-0.01   ,0.02   ,0.01   ,0.01
19910102  ,-0.08   ,0.15   ,0.21  ,-0.56  ,-0.29  ,-0.05
19910103  ,-0.35  ,-0.52  ,-0.68  ,-0.03  ,-0.19  ,-0.25
19910104  ,-0.70  ,-0.53  ,-0.66  ,-0.24   ,0.04  ,-0.26
19910107  ,-2.22  ,-2.06  ,-2.10  ,-2.73  ,-2.89  ,-2.91
19910108  ,-0.94  ,-0.98  ,-0.99  ,-1.12  ,-0.96  ,-1.07
19910109   ,0.39   ,0.25   ,0.36   ,1.72   ,1.95   ,1.86
19910110  ,-0.44  ,-0.38  ,-0.44  ,-0.76  ,-1.03  ,-0.87
19910111  ,-0.47  ,-0.31  ,-0.36   ,0.01  ,-0.30  ,-0.24
19910114  ,-1.35  ,-1.58  ,-1.66  ,-2.30  ,-2.37  ,-2.46
19910115  ,-0.54  ,-0.67  ,-0.76  ,-0.34  ,-0.40  ,-0.37
19910116  ,-0.31  ,-0.45  ,-0.37  ,-0.40  ,-0.40  ,-0.18
19910117   ,3.09   ,3.41   ,3.66   ,5.67   ,5.98   ,5.59
19910118   ,0.86   ,0.72   ,0.67   ,0.21   ,0.16   ,0.54
19910121   ,0.61   ,0.45   ,0.49  ,-0.01  ,-0.12   ,0.03
19910122  ,-0.83  ,-0.89  ,-0.93  ,-0.84  ,-1.02  ,-0.83
19910123   ,0.34   ,0.31   ,0.19   ,0.34   ,0.11  ,-0.11
19910124  ,-0.24   ,0.15  ,-0.07   ,0.90   ,0.99   ,0.90
19910125   ,0.08  ,-0.17  ,-0.05   ,0.16   ,0.06   ,0.36
19910128   ,0.34   ,0.36   ,0.41   ,0.67   ,0.54   ,0.82
19910129  ,-0.17  ,-0.08  ,-0.14   ,0.02   ,0.13  ,-0.37
19910130   ,0.34   ,0.37   ,0.41   ,1.14   ,1.22   ,1.26
19910131   ,1.06   ,0.89   ,0.90   ,1.19   ,1.19   ,1.57
19910201   ,0.79   ,0.69   ,0.57   ,0.71   ,0.69   ,0.44
19910204   ,0.33   ,0.49   ,0.57   ,0.76   ,0.68   ,0.83
19910205   ,0.69   ,1.05   ,1.14   ,1.24   ,1.34   ,1.31
19910206   ,0.70   ,0.96   ,0.96   ,0.47   ,0.41   ,0.46
19910207   ,0.38   ,0.40   ,0.50   ,0.70   ,1.06   ,1.27
19910208  ,-0.16  ,-0.11  ,-0.01   ,0.20   ,0.34   ,0.43
19910211   ,1.23   ,1.42   ,1.43   ,1.92   ,1.77   ,2.00
19910212   ,0.00  ,-0.09  ,-0.10  ,-0.70  ,-1.04  ,-0.70
19910213   ,0.50   ,0.48   ,0.59   ,0.50   ,0.46   ,0.39
19910214   ,0.24   ,0.56   ,0.73   ,0.42   ,0.32   ,0.42
19910215   ,0.17   ,0.01  ,-0.01   ,0.51   ,0.66   ,0.20
19910218   ,0.80   ,0.53   ,0.72   ,0.78   ,0.82   ,1.11
19910219   ,0.33   ,0.19   ,0.24   ,0.09  ,-0.16  ,-0.22
19910220   ,0.24  ,-0.08  ,-0.37  ,-0.85  ,-1.04  ,-1.20
19910221   ,0.86   ,0.96   ,0.74   ,0.67   ,0.98   ,0.83
19910222  ,-0.04  ,-0.24  ,-0.09  ,-0.05  ,-0.26  ,-0.03
19910225   ,0.05   ,0.14   ,0.31   ,0.31   ,0.36   ,0.62
19910226   ,0.17   ,0.09  ,-0.02  ,-0.73  ,-1.22  ,-1.32
19910227   ,0.23   ,0.38   ,0.30   ,0.12   ,0.44   ,0.75
19910228   ,0.75   ,1.09   ,0.81   ,0.66   ,0.38   ,0.74
19910301  ,-0.36  ,-0.46  ,-0.63  ,-1.27  ,-1.30  ,-1.22
19910304   ,0.77   ,0.78   ,0.72   ,0.33   ,0.46   ,0.39
19910305   ,0.56   ,0.79   ,0.69   ,1.19   ,1.26   ,0.90
19910306   ,1.23   ,1.31   ,1.41   ,1.62   ,1.87   ,1.66
19910307  ,-0.13  ,-0.14  ,-0.29  ,-0.81  ,-0.72  ,-0.61
19910308  ,-0.93  ,-0.47  ,-0.68  ,-0.59  ,-0.41  ,-0.08
19910311   ,0.01  ,-0.24  ,-0.17  ,-0.86  ,-1.21  ,-1.22
19910312   ,0.69   ,0.65   ,0.74   ,0.33   ,0.41   ,0.30
19910313  ,-0.13  ,-0.27  ,-0.36  ,-0.67  ,-1.07  ,-0.92
19910314   ,0.55   ,0.56   ,0.66   ,1.46   ,1.48   ,1.54
19910315  ,-0.87  ,-0.83  ,-0.65  ,-1.35  ,-1.47  ,-1.16
19910318  ,-1.53  ,-1.76  ,-1.56  ,-2.04  ,-2.08  ,-2.25
19910319  ,-1.37  ,-1.53  ,-1.76  ,-2.43  ,-2.33  ,-2.27
19910320   ,0.28  ,-0.07  ,-0.18  ,-0.07  ,-0.26  ,-0.22
19910321   ,0.80   ,0.82   ,0.83   ,1.17   ,1.54   ,1.47
19910322  ,-0.51  ,-0.46  ,-0.47  ,-0.90  ,-0.77  ,-0.74
19910325  ,-2.21  ,-2.10  ,-2.36  ,-2.11  ,-2.02  ,-1.95
19910326  ,-0.63  ,-0.84  ,-0.40  ,-0.52  ,-0.67  ,-0.46
19910327  ,-0.69  ,-0.77  ,-0.68   ,0.08   ,0.01  ,-0.17
19910328   ,0.08   ,0.16   ,0.05   ,0.29   ,0.21   ,0.16
19910329   ,0.61   ,0.61   ,0.30   ,0.54   ,0.53   ,0.50
19910401   ,0.95   ,0.94   ,1.24   ,0.90   ,0.90   ,0.89
19910402   ,0.69   ,0.84   ,0.85   ,1.55   ,1.40   ,1.23
19910403   ,0.47   ,0.78   ,0.44   ,1.52   ,1.41   ,1.19
19910404   ,0.85   ,0.72   ,0.62   ,0.65   ,0.57   ,0.45
19910405  ,-0.75  ,-0.71  ,-0.78   ,0.07  ,-0.40  ,-0.43
19910408  ,-0.46  ,-0.65  ,-0.54  ,-0.88  ,-0.64  ,-1.03
19910409   ,1.40   ,1.26   ,1.38   ,0.96   ,1.26   ,1.13
19910410  ,-1.01  ,-0.86  ,-0.93  ,-1.30  ,-1.27  ,-1.34
19910411   ,0.55   ,0.78   ,0.58   ,0.70   ,0.79   ,0.92
19910412  ,-0.51  ,-0.60  ,-0.48  ,-0.55  ,-0.55  ,-0.08
19910415   ,0.93   ,0.94   ,0.69   ,1.20   ,1.20   ,1.02
19910416   ,0.22   ,0.20  ,-0.02  ,-0.29  ,-0.25  ,-0.41
19910417   ,0.05  ,-0.08   ,0.05   ,0.43   ,0.53   ,0.53
19910418  ,-1.24  ,-1.20  ,-1.21  ,-1.48  ,-1.55  ,-1.37
19910419  ,-2.25  ,-2.28  ,-2.27  ,-2.79  ,-2.64  ,-2.69
19910422  ,-1.79  ,-1.91  ,-1.86  ,-2.63  ,-2.64  ,-2.51
19910423   ,0.98   ,0.94   ,0.84   ,1.41   ,1.54   ,1.71
19910424  ,-0.68  ,-0.65  ,-0.47  ,-0.90  ,-0.64  ,-0.62
19910425  ,-0.10  ,-0.19  ,-0.34  ,-0.05  ,-0.05   ,0.06
19910426  ,-0.32  ,-0.46  ,-0.45  ,-0.56  ,-0.57  ,-0.84
19910429  ,-0.01  ,-0.15  ,-0.18   ,0.22   ,0.13   ,0.21
19910430   ,2.05   ,1.83   ,1.75   ,1.67   ,1.43   ,1.81
19910501   ,0.29   ,0.30   ,0.28   ,0.71   ,0.70   ,0.90
19910502  ,-0.37  ,-0.23  ,-0.26   ,0.31   ,0.29   ,0.36
19910503  ,-1.38  ,-1.42  ,-1.29  ,-1.24  ,-1.37  ,-1.46
19910506   ,0.56   ,0.70   ,0.68   ,0.47   ,0.40   ,0.45
19910507   ,0.99   ,1.10   ,0.94   ,1.14   ,1.23   ,1.21
19910508  ,-0.53  ,-0.69  ,-0.64  ,-1.08  ,-0.95  ,-1.02
19910509  ,-0.37  ,-0.32  ,-0.26   ,0.00  ,-0.02  ,-0.08
19910510   ,0.32   ,0.51   ,0.48   ,0.61   ,0.60   ,0.76
19910513   ,0.61   ,0.60   ,0.64  ,-0.02   ,0.03   ,0.06
19910514   ,0.60   ,0.47   ,0.51   ,0.24   ,0.28   ,0.03
19910515   ,0.30   ,0.07   ,0.11   ,0.10   ,0.07   ,0.10
19910516  ,-0.33  ,-0.29  ,-0.27  ,-0.18   ,0.17   ,0.38
19910517  ,-2.30  ,-2.09  ,-2.18  ,-2.00  ,-2.23  ,-2.23
19910520   ,0.29   ,0.19   ,0.09   ,0.50   ,0.51   ,0.39
19910521   ,0.96   ,1.02   ,0.87   ,1.53   ,1.60   ,1.56
19910522  ,-0.39  ,-0.49  ,-0.57  ,-0.52  ,-0.28  ,-0.50
19910523   ,0.33   ,0.35   ,0.41   ,0.56   ,0.44   ,0.39
19910524  ,-0.09   ,0.21  ,-0.06   ,0.63   ,0.21   ,0.22
19910527   ,0.32   ,0.41   ,0.24   ,0.52   ,0.53   ,0.52
19910528   ,0.41   ,0.39   ,0.40   ,0.67   ,0.47   ,0.57
19910529  ,-0.96  ,-0.86  ,-0.83  ,-0.41  ,-0.54  ,-0.47
19910530  ,-0.58  ,-0.56  ,-0.55  ,-0.71  ,-0.34  ,-0.36
19910531  ,-0.93  ,-1.02  ,-0.93  ,-0.63  ,-0.25  ,-0.36
19910603  ,-0.15  ,-0.09   ,0.06   ,0.50   ,0.21   ,0.21
19910604   ,0.01   ,0.03   ,0.18  ,-0.01  ,-0.05  ,-0.07
19910605  ,-0.30  ,-0.21  ,-0.38   ,0.36   ,0.11   ,0.01
19910606  ,-0.28  ,-0.42  ,-0.52  ,-0.18  ,-0.26  ,-0.41
19910607  ,-0.96  ,-0.98  ,-1.04  ,-1.48  ,-1.29  ,-1.40
19910610   ,0.56   ,0.24   ,0.17  ,-0.04  ,-0.16   ,0.03
19910611  ,-0.87  ,-0.38  ,-0.62   ,0.21   ,0.63   ,0.36
19910612  ,-1.27  ,-1.28  ,-1.24  ,-1.67  ,-1.75  ,-1.58
19910613  ,-0.52  ,-0.55  ,-0.60  ,-0.75  ,-0.62  ,-0.67
19910614   ,0.29   ,0.22   ,0.26   ,0.54   ,0.56   ,0.40
19910617  ,-0.63  ,-0.46  ,-0.36  ,-0.49  ,-0.36  ,-0.43
19910618  ,-1.08  ,-1.11  ,-1.11  ,-1.06  ,-1.20  ,-1.12
19910619   ,1.05   ,0.88   ,0.91   ,0.48   ,0.29   ,0.16
19910620  ,-0.27  ,-0.45  ,-0.38  ,-0.16  ,-0.38  ,-0.38
19910621  ,-0.22  ,-0.34  ,-0.42   ,0.05  ,-0.02   ,0.23
19910624   ,0.68   ,0.53   ,0.51   ,0.11  ,-0.08  ,-0.08
19910625  ,-0.96  ,-1.17  ,-0.99  ,-0.84  ,-0.79  ,-0.90
19910626   ,0.35   ,0.31   ,0.38  ,-0.11  ,-0.14  ,-0.08
19910627  ,-0.48  ,-0.47  ,-0.74  ,-0.19  ,-0.19  ,-0.15
19910628  ,-1.15  ,-1.08  ,-1.08  ,-2.18  ,-1.77  ,-1.79
19910701  ,-0.72  ,-0.64  ,-0.55   ,0.12   ,0.17   ,0.02
19910702  ,-0.74  ,-0.93  ,-0.96  ,-0.42  ,-0.57  ,-0.82
19910703  ,-0.20  ,-0.31  ,-0.45  ,-0.27  ,-0.58  ,-0.66
19910704  ,-0.19  ,-0.30  ,-0.24  ,-0.18  ,-0.13   ,0.04
19910705   ,0.44   ,0.85   ,0.48   ,1.51   ,1.11   ,1.21
19910708   ,0.77   ,0.64   ,0.45   ,0.34   ,0.12   ,0.03
19910709  ,-0.39  ,-0.31  ,-0.49   ,0.29   ,0.21   ,0.21
19910710   ,0.14   ,0.08   ,0.00   ,0.45   ,0.71   ,0.63
19910711  ,-0.96  ,-0.97  ,-0.96  ,-0.80  ,-0.87  ,-0.87
19910712   ,2.43   ,2.41   ,2.29   ,2.31   ,2.32   ,2.31
19910715   ,0.11   ,0.07   ,0.31   ,0.74   ,0.88   ,0.62
19910716  ,-0.60  ,-0.54  ,-0.47  ,-0.20  ,-0.14  ,-0.25
19910717   ,0.53   ,0.40   ,0.30   ,0.26   ,0.39   ,0.33
19910718   ,0.99   ,1.01   ,1.02   ,0.49   ,0.84   ,1.09
19910719   ,1.26   ,1.05   ,1.47   ,1.50   ,1.32   ,1.74
19910722  ,-0.44  ,-0.55  ,-0.25  ,-0.23  ,-0.32  ,-0.36
19910723   ,0.05   ,0.04   ,0.29   ,0.43   ,0.77   ,0.48
19910724   ,1.06   ,1.03   ,1.03   ,0.59   ,0.63   ,0.98
19910725  ,-1.14  ,-1.12  ,-1.00  ,-1.46  ,-1.13  ,-1.29
19910726   ,0.96   ,1.01   ,0.87   ,0.96   ,0.85   ,0.90
19910729  ,-0.91  ,-0.58  ,-0.62  ,-0.81  ,-0.50  ,-0.75
19910730  ,-0.02   ,0.09  ,-0.14   ,0.01   ,0.04  ,-0.13
19910731   ,0.58   ,0.58   ,0.53   ,0.48   ,0.34  ,-0.12
19910801  ,-0.59  ,-0.55  ,-0.54  ,-0.39  ,-0.38  ,-0.30
19910802   ,1.25   ,1.11   ,0.95   ,1.25   ,1.48   ,1.47
19910805   ,1.15   ,1.09   ,1.03   ,0.39   ,0.77   ,0.78
19910806   ,0.53   ,0.10   ,0.10  ,-0.14  ,-0.12  ,-0.13
19910807   ,0.07   ,0.19   ,0.25   ,0.57   ,0.66   ,0.59
19910808  ,-0.59  ,-0.53  ,-0.67  ,-0.31  ,-0.60  ,-0.39
19910809  ,-0.37  ,-0.52  ,-0.60  ,-0.91  ,-1.00  ,-0.77
19910812   ,0.06   ,0.50  ,-0.02   ,0.09   ,0.11   ,0.03
19910813  ,-0.24  ,-0.17  ,-0.29   ,0.19  ,-0.02   ,0.13
19910814  ,-0.24  ,-0.13  ,-0.17   ,0.44   ,0.16   ,0.39
19910815   ,0.04  ,-0.04  ,-0.05  ,-0.04  ,-0.10   ,0.12
19910816  ,-0.90  ,-0.90  ,-0.93  ,-1.01  ,-1.07  ,-1.19
19910819  ,-5.62  ,-5.82  ,-6.18  ,-7.11  ,-7.33  ,-8.85
19910820   ,0.96   ,1.23   ,1.44   ,2.07   ,2.22   ,2.69
19910821   ,3.74   ,3.87   ,4.24   ,4.92   ,4.79   ,5.30
19910822   ,2.02   ,1.95   ,1.87   ,2.00   ,2.14   ,2.39
19910823  ,-0.93  ,-0.78  ,-0.84  ,-1.12  ,-0.62  ,-0.87
19910826   ,0.60   ,0.59   ,0.33   ,0.62   ,0.64   ,0.52
19910827   ,0.20   ,0.27   ,0.11  ,-0.22  ,-0.23   ,0.02
19910828   ,0.38   ,0.30   ,0.30   ,0.40   ,0.22   ,0.46
19910829  ,-0.05   ,0.25   ,0.19   ,0.31   ,0.36   ,0.04
19910830   ,0.14  ,-0.03   ,0.09   ,0.08   ,0.32   ,0.28
19910902   ,0.36   ,0.59   ,0.43   ,0.59   ,0.62   ,0.56
19910903   ,0.68   ,0.66   ,0.59   ,0.22   ,0.45   ,0.54
19910904  ,-0.08   ,0.12  ,-0.03  ,-0.29  ,-0.17  ,-0.07
19910905   ,0.20   ,0.23   ,0.17   ,0.02  ,-0.01   ,0.10
19910906   ,1.06   ,1.18   ,1.17   ,1.02   ,0.79   ,0.66
19910909   ,1.46   ,1.56   ,1.41   ,1.06   ,1.06   ,1.22
19910910  ,-0.09  ,-0.11   ,0.01  ,-0.75  ,-0.45  ,-0.42
19910911   ,0.05  ,-0.02  ,-0.12  ,-0.04  ,-0.14  ,-0.09
19910912   ,0.46   ,0.39   ,0.31   ,0.70   ,0.54   ,0.68
19910913   ,0.08   ,0.26   ,0.10  ,-0.05  ,-0.20   ,0.30
19910916   ,0.36   ,0.67   ,0.51   ,0.50   ,0.18   ,0.49
19910917   ,0.19   ,0.28   ,0.16   ,0.24   ,0.21   ,0.32
19910918  ,-0.81  ,-0.65  ,-0.68  ,-0.89  ,-0.93  ,-0.74
19910919  ,-0.47  ,-0.56  ,-0.58  ,-0.55  ,-0.64  ,-0.57
19910920   ,0.31   ,0.28   ,0.23   ,0.31   ,0.54   ,0.28
19910923   ,0.68   ,0.51   ,0.50   ,0.44   ,0.32   ,0.39
19910924  ,-0.36  ,-0.41  ,-0.43  ,-0.42  ,-0.47  ,-0.30
19910925  ,-0.22  ,-0.29  ,-0.26   ,0.01   ,0.01  ,-0.45
19910926  ,-0.20  ,-0.23  ,-0.22  ,-0.35  ,-0.20  ,-0.34
